Address,USB0::0x0957::0x0D09::MY46110147::0::INSTR,,Trace ID: ,Tr1 - S11,
Model,E5071C,,Trace Channel: ,1,
Serial Number:,MY46110147,,Total Samples per Trace: ,801,
Firmware Version,A.11.34,,Center Frequency: ,5 GHz,
Start Time,10:12.3,,Span Frequency: ,4 GHz,
Capture Time,10:13.2,,Bandwidth: ,10 kHz,
,,,Format: ,Log Mag,
,,,Sweep Type: ,Lin Freq,
,,,Power: ,0 dBm,
,,,,,
,,,,,
,,,,,
,,,Formatted,Data,
,,,X Axis Value,Trc1 FDATA Capture8Real,Imaginary
,,,3000000000,-1.337676979,0
,,,3005000000,-1.315129357,0
,,,3010000000,-1.293389828,0
,,,3015000000,-1.267112293,0
,,,3020000000,-1.244664355,0
,,,3025000000,-1.221302039,0
,,,3030000000,-1.200707722,0
,,,3035000000,-1.179295001,0
,,,3040000000,-1.157428756,0
,,,3045000000,-1.141175091,0
,,,3050000000,-1.124961587,0
,,,3055000000,-1.110295137,0
,,,3060000000,-1.098228929,0
,,,3065000000,-1.083555865,0
,,,3070000000,-1.072525256,0
,,,3075000000,-1.058290671,0
,,,3080000000,-1.043866384,0
,,,3085000000,-1.02996769,0
,,,3090000000,-1.015391564,0
,,,3095000000,-0.999260121,0
,,,3100000000,-0.985500497,0
,,,3105000000,-0.972598245,0
,,,3110000000,-0.958711134,0
,,,3115000000,-0.946098394,0
,,,3120000000,-0.932921927,0
,,,3125000000,-0.923672933,0
,,,3130000000,-0.916301916,0
,,,3135000000,-0.910302345,0
,,,3140000000,-0.908451253,0
,,,3145000000,-0.908333496,0
,,,3150000000,-0.910963022,0
,,,3155000000,-0.914937374,0
,,,3160000000,-0.916044242,0
,,,3165000000,-0.923905048,0
,,,3170000000,-0.930512749,0
,,,3175000000,-0.931358766,0
,,,3180000000,-0.938460302,0
,,,3185000000,-0.942390129,0
,,,3190000000,-0.94958209,0
,,,3195000000,-0.95057109,0
,,,3200000000,-0.957384863,0
,,,3205000000,-0.96771864,0
,,,3210000000,-0.975656734,0
,,,3215000000,-0.989732249,0
,,,3220000000,-1.006650256,0
,,,3225000000,-1.021721851,0
,,,3230000000,-1.045603227,0
,,,3235000000,-1.071142977,0
,,,3240000000,-1.101239906,0
,,,3245000000,-1.133087076,0
,,,3250000000,-1.16564659,0
,,,3255000000,-1.196888013,0
,,,3260000000,-1.228094086,0
,,,3265000000,-1.255915282,0
,,,3270000000,-1.285077461,0
,,,3275000000,-1.312615881,0
,,,3280000000,-1.333804275,0
,,,3285000000,-1.351483254,0
,,,3290000000,-1.371758419,0
,,,3295000000,-1.390357549,0
,,,3300000000,-1.405918625,0
,,,3305000000,-1.423482318,0
,,,3310000000,-1.441568946,0
,,,3315000000,-1.460412375,0
,,,3320000000,-1.47954844,0
,,,3325000000,-1.500413545,0
,,,3330000000,-1.523167571,0
,,,3335000000,-1.54581875,0
,,,3340000000,-1.57354097,0
,,,3345000000,-1.603717207,0
,,,3350000000,-1.634608839,0
,,,3355000000,-1.666249599,0
,,,3360000000,-1.694853183,0
,,,3365000000,-1.721929931,0
,,,3370000000,-1.749695882,0
,,,3375000000,-1.76599767,0
,,,3380000000,-1.785703097,0
,,,3385000000,-1.798259034,0
,,,3390000000,-1.810147816,0
,,,3395000000,-1.821510697,0
,,,3400000000,-1.828159904,0
,,,3405000000,-1.831768903,0
,,,3410000000,-1.8367362,0
,,,3415000000,-1.840799612,0
,,,3420000000,-1.843506173,0
,,,3425000000,-1.848223886,0
,,,3430000000,-1.846988324,0
,,,3435000000,-1.851368676,0
,,,3440000000,-1.859897898,0
,,,3445000000,-1.862627655,0
,,,3450000000,-1.868286016,0
,,,3455000000,-1.874412872,0
,,,3460000000,-1.8780052,0
,,,3465000000,-1.880166679,0
,,,3470000000,-1.881786014,0
,,,3475000000,-1.875235732,0
,,,3480000000,-1.872631112,0
,,,3485000000,-1.867256977,0
,,,3490000000,-1.860312237,0
,,,3495000000,-1.857532378,0
,,,3500000000,-1.848734952,0
,,,3505000000,-1.84080425,0
,,,3510000000,-1.835328471,0
,,,3515000000,-1.824729063,0
,,,3520000000,-1.812245622,0
,,,3525000000,-1.795860653,0
,,,3530000000,-1.785873816,0
,,,3535000000,-1.771953344,0
,,,3540000000,-1.756832619,0
,,,3545000000,-1.739653639,0
,,,3550000000,-1.722789527,0
,,,3555000000,-1.706550523,0
,,,3560000000,-1.68700173,0
,,,3565000000,-1.666605058,0
,,,3570000000,-1.644283533,0
,,,3575000000,-1.618615542,0
,,,3580000000,-1.595495944,0
,,,3585000000,-1.569521355,0
,,,3590000000,-1.54572645,0
,,,3595000000,-1.522565403,0
,,,3600000000,-1.499867714,0
,,,3605000000,-1.476531523,0
,,,3610000000,-1.456763141,0
,,,3615000000,-1.442977656,0
,,,3620000000,-1.427840149,0
,,,3625000000,-1.41339744,0
,,,3630000000,-1.403686384,0
,,,3635000000,-1.394715817,0
,,,3640000000,-1.385257351,0
,,,3645000000,-1.378668211,0
,,,3650000000,-1.376179815,0
,,,3655000000,-1.367148031,0
,,,3660000000,-1.360363405,0
,,,3665000000,-1.35273571,0
,,,3670000000,-1.342754811,0
,,,3675000000,-1.332648365,0
,,,3680000000,-1.326115075,0
,,,3685000000,-1.316999226,0
,,,3690000000,-1.309771749,0
,,,3695000000,-1.306850026,0
,,,3700000000,-1.303947602,0
,,,3705000000,-1.305039628,0
,,,3710000000,-1.306417141,0
,,,3715000000,-1.313103243,0
,,,3720000000,-1.321849811,0
,,,3725000000,-1.339316462,0
,,,3730000000,-1.354543624,0
,,,3735000000,-1.382723038,0
,,,3740000000,-1.411696125,0
,,,3745000000,-1.440779412,0
,,,3750000000,-1.472465287,0
,,,3755000000,-1.502138223,0
,,,3760000000,-1.53253053,0
,,,3765000000,-1.569117172,0
,,,3770000000,-1.60449929,0
,,,3775000000,-1.64274119,0
,,,3780000000,-1.682427245,0
,,,3785000000,-1.721881622,0
,,,3790000000,-1.766218239,0
,,,3795000000,-1.806807051,0
,,,3800000000,-1.849600189,0
,,,3805000000,-1.892235639,0
,,,3810000000,-1.931961224,0
,,,3815000000,-1.972253363,0
,,,3820000000,-2.007484393,0
,,,3825000000,-2.041718724,0
,,,3830000000,-2.076823993,0
,,,3835000000,-2.113233661,0
,,,3840000000,-2.153797501,0
,,,3845000000,-2.183248707,0
,,,3850000000,-2.217799565,0
,,,3855000000,-2.252120545,0
,,,3860000000,-2.291667881,0
,,,3865000000,-2.335545788,0
,,,3870000000,-2.380925765,0
,,,3875000000,-2.426261789,0
,,,3880000000,-2.473845639,0
,,,3885000000,-2.525169238,0
,,,3890000000,-2.577127137,0
,,,3895000000,-2.626296293,0
,,,3900000000,-2.671397058,0
,,,3905000000,-2.717908803,0
,,,3910000000,-2.75982068,0
,,,3915000000,-2.802248938,0
,,,3920000000,-2.843918407,0
,,,3925000000,-2.882485201,0
,,,3930000000,-2.920283348,0
,,,3935000000,-2.947090518,0
,,,3940000000,-2.970419722,0
,,,3945000000,-2.996925782,0
,,,3950000000,-3.014981899,0
,,,3955000000,-3.034413757,0
,,,3960000000,-3.051434121,0
,,,3965000000,-3.07341867,0
,,,3970000000,-3.093466626,0
,,,3975000000,-3.109494203,0
,,,3980000000,-3.131804211,0
,,,3985000000,-3.156689056,0
,,,3990000000,-3.184905797,0
,,,3995000000,-3.215439975,0
,,,4000000000,-3.257665863,0
,,,4005000000,-3.306841848,0
,,,4010000000,-3.358526226,0
,,,4015000000,-3.409796269,0
,,,4020000000,-3.457523601,0
,,,4025000000,-3.501700378,0
,,,4030000000,-3.544325661,0
,,,4035000000,-3.58082093,0
,,,4040000000,-3.61655668,0
,,,4045000000,-3.651071467,0
,,,4050000000,-3.678146017,0
,,,4055000000,-3.707193538,0
,,,4060000000,-3.736999204,0
,,,4065000000,-3.764200933,0
,,,4070000000,-3.792646139,0
,,,4075000000,-3.825912023,0
,,,4080000000,-3.870115751,0
,,,4085000000,-3.912987088,0
,,,4090000000,-3.96222669,0
,,,4095000000,-4.014590192,0
,,,4100000000,-4.069794723,0
,,,4105000000,-4.131560331,0
,,,4110000000,-4.19813066,0
,,,4115000000,-4.266596741,0
,,,4120000000,-4.349776174,0
,,,4125000000,-4.44174642,0
,,,4130000000,-4.532771164,0
,,,4135000000,-4.641457158,0
,,,4140000000,-4.744649208,0
,,,4145000000,-4.870370139,0
,,,4150000000,-5.010839719,0
,,,4155000000,-5.160127055,0
,,,4160000000,-5.330709194,0
,,,4165000000,-5.50818492,0
,,,4170000000,-5.684601637,0
,,,4175000000,-5.876120812,0
,,,4180000000,-6.083816091,0
,,,4185000000,-6.28740907,0
,,,4190000000,-6.514261105,0
,,,4195000000,-6.748319633,0
,,,4200000000,-7.00503205,0
,,,4205000000,-7.257801644,0
,,,4210000000,-7.526682763,0
,,,4215000000,-7.805616024,0
,,,4220000000,-8.110410449,0
,,,4225000000,-8.442736362,0
,,,4230000000,-8.780200358,0
,,,4235000000,-9.133243418,0
,,,4240000000,-9.523522368,0
,,,4245000000,-9.945263022,0
,,,4250000000,-10.39736579,0
,,,4255000000,-10.91182086,0
,,,4260000000,-11.46953769,0
,,,4265000000,-12.11644959,0
,,,4270000000,-12.8229618,0
,,,4275000000,-13.63607394,0
,,,4280000000,-14.54017234,0
,,,4285000000,-15.48261603,0
,,,4290000000,-16.60945643,0
,,,4295000000,-17.85734594,0
,,,4300000000,-19.22969468,0
,,,4305000000,-20.66470473,0
,,,4310000000,-22.20216362,0
,,,4315000000,-23.69010958,0
,,,4320000000,-24.84616102,0
,,,4325000000,-25.45362282,0
,,,4330000000,-25.37358551,0
,,,4335000000,-24.5488476,0
,,,4340000000,-23.22159928,0
,,,4345000000,-21.82499166,0
,,,4350000000,-20.39727702,0
,,,4355000000,-19.03789483,0
,,,4360000000,-17.70678514,0
,,,4365000000,-16.50199774,0
,,,4370000000,-15.35734945,0
,,,4375000000,-14.34817449,0
,,,4380000000,-13.44350177,0
,,,4385000000,-12.63726622,0
,,,4390000000,-11.86763479,0
,,,4395000000,-11.17820564,0
,,,4400000000,-10.51979496,0
,,,4405000000,-9.941195995,0
,,,4410000000,-9.409035775,0
,,,4415000000,-8.925454432,0
,,,4420000000,-8.498037118,0
,,,4425000000,-8.101163454,0
,,,4430000000,-7.733465673,0
,,,4435000000,-7.385257832,0
,,,4440000000,-7.056484628,0
,,,4445000000,-6.744378024,0
,,,4450000000,-6.443909736,0
,,,4455000000,-6.159692142,0
,,,4460000000,-5.891308874,0
,,,4465000000,-5.63335003,0
,,,4470000000,-5.391833141,0
,,,4475000000,-5.163923026,0
,,,4480000000,-4.949595434,0
,,,4485000000,-4.750018325,0
,,,4490000000,-4.564146891,0
,,,4495000000,-4.388522455,0
,,,4500000000,-4.231128885,0
,,,4505000000,-4.093077403,0
,,,4510000000,-3.972538436,0
,,,4515000000,-3.865761066,0
,,,4520000000,-3.767802828,0
,,,4525000000,-3.679692911,0
,,,4530000000,-3.602400854,0
,,,4535000000,-3.524635325,0
,,,4540000000,-3.453449905,0
,,,4545000000,-3.389707956,0
,,,4550000000,-3.328902695,0
,,,4555000000,-3.268396025,0
,,,4560000000,-3.21692396,0
,,,4565000000,-3.162858238,0
,,,4570000000,-3.110540844,0
,,,4575000000,-3.061826562,0
,,,4580000000,-3.01536166,0
,,,4585000000,-2.975755215,0
,,,4590000000,-2.942064277,0
,,,4595000000,-2.907926238,0
,,,4600000000,-2.877506567,0
,,,4605000000,-2.857960907,0
,,,4610000000,-2.834195788,0
,,,4615000000,-2.811632836,0
,,,4620000000,-2.791676523,0
,,,4625000000,-2.773308758,0
,,,4630000000,-2.754374293,0
,,,4635000000,-2.735742957,0
,,,4640000000,-2.712269788,0
,,,4645000000,-2.69607016,0
,,,4650000000,-2.676184827,0
,,,4655000000,-2.654441604,0
,,,4660000000,-2.628403709,0
,,,4665000000,-2.601845709,0
,,,4670000000,-2.575199771,0
,,,4675000000,-2.547488729,0
,,,4680000000,-2.521430289,0
,,,4685000000,-2.493579775,0
,,,4690000000,-2.465734767,0
,,,4695000000,-2.442081565,0
,,,4700000000,-2.418057172,0
,,,4705000000,-2.394636116,0
,,,4710000000,-2.371378245,0
,,,4715000000,-2.347604914,0
,,,4720000000,-2.322900385,0
,,,4725000000,-2.295808322,0
,,,4730000000,-2.266752738,0
,,,4735000000,-2.239331031,0
,,,4740000000,-2.208404139,0
,,,4745000000,-2.176845584,0
,,,4750000000,-2.145740221,0
,,,4755000000,-2.10823827,0
,,,4760000000,-2.073283296,0
,,,4765000000,-2.030582736,0
,,,4770000000,-1.98722286,0
,,,4775000000,-1.942228121,0
,,,4780000000,-1.895730484,0
,,,4785000000,-1.848151984,0
,,,4790000000,-1.802493858,0
,,,4795000000,-1.752898515,0
,,,4800000000,-1.704025125,0
,,,4805000000,-1.658211199,0
,,,4810000000,-1.60964525,0
,,,4815000000,-1.563431013,0
,,,4820000000,-1.517513928,0
,,,4825000000,-1.471465219,0
,,,4830000000,-1.427107034,0
,,,4835000000,-1.386097949,0
,,,4840000000,-1.344514302,0
,,,4845000000,-1.306253365,0
,,,4850000000,-1.264354394,0
,,,4855000000,-1.225073733,0
,,,4860000000,-1.185386909,0
,,,4865000000,-1.146170178,0
,,,4870000000,-1.106657311,0
,,,4875000000,-1.070880912,0
,,,4880000000,-1.032792107,0
,,,4885000000,-0.999487428,0
,,,4890000000,-0.961553574,0
,,,4895000000,-0.926233551,0
,,,4900000000,-0.887471513,0
,,,4905000000,-0.849552953,0
,,,4910000000,-0.818300257,0
,,,4915000000,-0.788218894,0
,,,4920000000,-0.761872863,0
,,,4925000000,-0.741610375,0
,,,4930000000,-0.728287868,0
,,,4935000000,-0.716063602,0
,,,4940000000,-0.712582611,0
,,,4945000000,-0.711564675,0
,,,4950000000,-0.71203049,0
,,,4955000000,-0.720866388,0
,,,4960000000,-0.729503845,0
,,,4965000000,-0.745296157,0
,,,4970000000,-0.762479642,0
,,,4975000000,-0.784455635,0
,,,4980000000,-0.808979883,0
,,,4985000000,-0.832342087,0
,,,4990000000,-0.858483847,0
,,,4995000000,-0.882452842,0
,,,5000000000,-0.904245556,0
,,,5005000000,-0.923567986,0
,,,5010000000,-0.948257514,0
,,,5015000000,-0.968784219,0
,,,5020000000,-0.992666515,0
,,,5025000000,-1.020399648,0
,,,5030000000,-1.044822667,0
,,,5035000000,-1.07683908,0
,,,5040000000,-1.10865909,0
,,,5045000000,-1.143281879,0
,,,5050000000,-1.181005899,0
,,,5055000000,-1.220747452,0
,,,5060000000,-1.261690471,0
,,,5065000000,-1.303951596,0
,,,5070000000,-1.347414047,0
,,,5075000000,-1.388194565,0
,,,5080000000,-1.432619769,0
,,,5085000000,-1.473910033,0
,,,5090000000,-1.512624474,0
,,,5095000000,-1.5500104,0
,,,5100000000,-1.582387492,0
,,,5105000000,-1.615695517,0
,,,5110000000,-1.646884877,0
,,,5115000000,-1.674124348,0
,,,5120000000,-1.701186027,0
,,,5125000000,-1.72785988,0
,,,5130000000,-1.752572475,0
,,,5135000000,-1.775661642,0
,,,5140000000,-1.799831232,0
,,,5145000000,-1.822754124,0
,,,5150000000,-1.844331502,0
,,,5155000000,-1.869499458,0
,,,5160000000,-1.897573305,0
,,,5165000000,-1.923922956,0
,,,5170000000,-1.946092899,0
,,,5175000000,-1.970814811,0
,,,5180000000,-1.988461919,0
,,,5185000000,-2.006298136,0
,,,5190000000,-2.017569093,0
,,,5195000000,-2.027176135,0
,,,5200000000,-2.036593068,0
,,,5205000000,-2.041748538,0
,,,5210000000,-2.044368807,0
,,,5215000000,-2.048476855,0
,,,5220000000,-2.049604587,0
,,,5225000000,-2.0510903,0
,,,5230000000,-2.049081847,0
,,,5235000000,-2.048459703,0
,,,5240000000,-2.041384735,0
,,,5245000000,-2.036340135,0
,,,5250000000,-2.030551562,0
,,,5255000000,-2.026462327,0
,,,5260000000,-2.019460597,0
,,,5265000000,-2.015952529,0
,,,5270000000,-2.009100842,0
,,,5275000000,-2.000554535,0
,,,5280000000,-1.987033192,0
,,,5285000000,-1.971997941,0
,,,5290000000,-1.9486694,0
,,,5295000000,-1.926742489,0
,,,5300000000,-1.899516811,0
,,,5305000000,-1.872212117,0
,,,5310000000,-1.841732237,0
,,,5315000000,-1.810850979,0
,,,5320000000,-1.778152631,0
,,,5325000000,-1.748063965,0
,,,5330000000,-1.715968973,0
,,,5335000000,-1.682508276,0
,,,5340000000,-1.650692188,0
,,,5345000000,-1.614821884,0
,,,5350000000,-1.581800625,0
,,,5355000000,-1.546581773,0
,,,5360000000,-1.512401188,0
,,,5365000000,-1.479799495,0
,,,5370000000,-1.440809239,0
,,,5375000000,-1.402926785,0
,,,5380000000,-1.36083654,0
,,,5385000000,-1.315737292,0
,,,5390000000,-1.268601714,0
,,,5395000000,-1.218252005,0
,,,5400000000,-1.169272705,0
,,,5405000000,-1.117234312,0
,,,5410000000,-1.065439983,0
,,,5415000000,-1.015397004,0
,,,5420000000,-0.964647495,0
,,,5425000000,-0.916897632,0
,,,5430000000,-0.867703077,0
,,,5435000000,-0.823509996,0
,,,5440000000,-0.787790894,0
,,,5445000000,-0.75404688,0
,,,5450000000,-0.723195614,0
,,,5455000000,-0.699232021,0
,,,5460000000,-0.674059878,0
,,,5465000000,-0.650689383,0
,,,5470000000,-0.627305147,0
,,,5475000000,-0.606361996,0
,,,5480000000,-0.586685552,0
,,,5485000000,-0.566698281,0
,,,5490000000,-0.550646075,0
,,,5495000000,-0.538085292,0
,,,5500000000,-0.530537366,0
,,,5505000000,-0.524449742,0
,,,5510000000,-0.517274589,0
,,,5515000000,-0.515834379,0
,,,5520000000,-0.515823353,0
,,,5525000000,-0.517278403,0
,,,5530000000,-0.523138291,0
,,,5535000000,-0.535122552,0
,,,5540000000,-0.551244241,0
,,,5545000000,-0.576518064,0
,,,5550000000,-0.603738958,0
,,,5555000000,-0.633501282,0
,,,5560000000,-0.673466782,0
,,,5565000000,-0.711492631,0
,,,5570000000,-0.750722157,0
,,,5575000000,-0.788077614,0
,,,5580000000,-0.831819085,0
,,,5585000000,-0.874461931,0
,,,5590000000,-0.916601201,0
,,,5595000000,-0.961351679,0
,,,5600000000,-1.006827264,0
,,,5605000000,-1.050808544,0
,,,5610000000,-1.098119262,0
,,,5615000000,-1.142930691,0
,,,5620000000,-1.189894317,0
,,,5625000000,-1.234010308,0
,,,5630000000,-1.278354589,0
,,,5635000000,-1.322738543,0
,,,5640000000,-1.371624832,0
,,,5645000000,-1.41804364,0
,,,5650000000,-1.464026273,0
,,,5655000000,-1.50925732,0
,,,5660000000,-1.556103375,0
,,,5665000000,-1.601073495,0
,,,5670000000,-1.647689145,0
,,,5675000000,-1.690675173,0
,,,5680000000,-1.736217109,0
,,,5685000000,-1.77758451,0
,,,5690000000,-1.820013589,0
,,,5695000000,-1.863004967,0
,,,5700000000,-1.899373352,0
,,,5705000000,-1.940256901,0
,,,5710000000,-1.97308269,0
,,,5715000000,-2.011518743,0
,,,5720000000,-2.04242165,0
,,,5725000000,-2.077165053,0
,,,5730000000,-2.111888506,0
,,,5735000000,-2.14610874,0
,,,5740000000,-2.18057818,0
,,,5745000000,-2.212287435,0
,,,5750000000,-2.237502894,0
,,,5755000000,-2.265286608,0
,,,5760000000,-2.289358186,0
,,,5765000000,-2.311719989,0
,,,5770000000,-2.332986361,0
,,,5775000000,-2.351434898,0
,,,5780000000,-2.372248187,0
,,,5785000000,-2.388455947,0
,,,5790000000,-2.403089194,0
,,,5795000000,-2.417526972,0
,,,5800000000,-2.426152381,0
,,,5805000000,-2.434147247,0
,,,5810000000,-2.436392248,0
,,,5815000000,-2.441752902,0
,,,5820000000,-2.446995756,0
,,,5825000000,-2.446824157,0
,,,5830000000,-2.450319735,0
,,,5835000000,-2.454416027,0
,,,5840000000,-2.456937664,0
,,,5845000000,-2.459301579,0
,,,5850000000,-2.458968692,0
,,,5855000000,-2.459310665,0
,,,5860000000,-2.455115442,0
,,,5865000000,-2.449135344,0
,,,5870000000,-2.446123866,0
,,,5875000000,-2.437663408,0
,,,5880000000,-2.432033833,0
,,,5885000000,-2.424549308,0
,,,5890000000,-2.418149568,0
,,,5895000000,-2.40799455,0
,,,5900000000,-2.397666401,0
,,,5905000000,-2.382455094,0
,,,5910000000,-2.367869458,0
,,,5915000000,-2.353763289,0
,,,5920000000,-2.336394295,0
,,,5925000000,-2.322657445,0
,,,5930000000,-2.309417001,0
,,,5935000000,-2.297308282,0
,,,5940000000,-2.288352032,0
,,,5945000000,-2.277803483,0
,,,5950000000,-2.269669224,0
,,,5955000000,-2.263187253,0
,,,5960000000,-2.254858926,0
,,,5965000000,-2.24631656,0
,,,5970000000,-2.238964783,0
,,,5975000000,-2.223051455,0
,,,5980000000,-2.205755162,0
,,,5985000000,-2.181660004,0
,,,5990000000,-2.149221839,0
,,,5995000000,-2.109811542,0
,,,6000000000,-2.063491413,0
,,,6005000000,-2.007898867,0
,,,6010000000,-1.949136085,0
,,,6015000000,-1.886686245,0
,,,6020000000,-1.81825437,0
,,,6025000000,-1.748089613,0
,,,6030000000,-1.6753728,0
,,,6035000000,-1.599969404,0
,,,6040000000,-1.525178706,0
,,,6045000000,-1.45280602,0
,,,6050000000,-1.383633175,0
,,,6055000000,-1.319181758,0
,,,6060000000,-1.264654165,0
,,,6065000000,-1.217337444,0
,,,6070000000,-1.180485686,0
,,,6075000000,-1.151073098,0
,,,6080000000,-1.127228108,0
,,,6085000000,-1.110048517,0
,,,6090000000,-1.101862474,0
,,,6095000000,-1.095891088,0
,,,6100000000,-1.093071798,0
,,,6105000000,-1.101662611,0
,,,6110000000,-1.11207829,0
,,,6115000000,-1.127810526,0
,,,6120000000,-1.14932425,0
,,,6125000000,-1.172195794,0
,,,6130000000,-1.192167828,0
,,,6135000000,-1.215110477,0
,,,6140000000,-1.239086973,0
,,,6145000000,-1.261822877,0
,,,6150000000,-1.283199671,0
,,,6155000000,-1.308333458,0
,,,6160000000,-1.336599995,0
,,,6165000000,-1.367394197,0
,,,6170000000,-1.404147848,0
,,,6175000000,-1.446157062,0
,,,6180000000,-1.48932577,0
,,,6185000000,-1.540848706,0
,,,6190000000,-1.592508782,0
,,,6195000000,-1.649744524,0
,,,6200000000,-1.709011001,0
,,,6205000000,-1.770537057,0
,,,6210000000,-1.837230201,0
,,,6215000000,-1.901281986,0
,,,6220000000,-1.965814526,0
,,,6225000000,-2.027018239,0
,,,6230000000,-2.08331728,0
,,,6235000000,-2.140536277,0
,,,6240000000,-2.194131052,0
,,,6245000000,-2.243684674,0
,,,6250000000,-2.289709461,0
,,,6255000000,-2.335071509,0
,,,6260000000,-2.377805659,0
,,,6265000000,-2.420607604,0
,,,6270000000,-2.461412483,0
,,,6275000000,-2.500774341,0
,,,6280000000,-2.540901332,0
,,,6285000000,-2.585874021,0
,,,6290000000,-2.629970385,0
,,,6295000000,-2.676498118,0
,,,6300000000,-2.725786029,0
,,,6305000000,-2.775955673,0
,,,6310000000,-2.825291396,0
,,,6315000000,-2.873358058,0
,,,6320000000,-2.918489138,0
,,,6325000000,-2.95830963,0
,,,6330000000,-2.996108865,0
,,,6335000000,-3.0271578,0
,,,6340000000,-3.056707803,0
,,,6345000000,-3.081394671,0
,,,6350000000,-3.103095139,0
,,,6355000000,-3.119774133,0
,,,6360000000,-3.139730575,0
,,,6365000000,-3.155119601,0
,,,6370000000,-3.165925562,0
,,,6375000000,-3.17689966,0
,,,6380000000,-3.18915571,0
,,,6385000000,-3.200098244,0
,,,6390000000,-3.205717611,0
,,,6395000000,-3.218983798,0
,,,6400000000,-3.228091148,0
,,,6405000000,-3.24113913,0
,,,6410000000,-3.254613078,0
,,,6415000000,-3.259777721,0
,,,6420000000,-3.258073352,0
,,,6425000000,-3.256552422,0
,,,6430000000,-3.243813019,0
,,,6435000000,-3.227864398,0
,,,6440000000,-3.204069381,0
,,,6445000000,-3.175141433,0
,,,6450000000,-3.142238966,0
,,,6455000000,-3.105734802,0
,,,6460000000,-3.06449653,0
,,,6465000000,-3.020442981,0
,,,6470000000,-2.972319936,0
,,,6475000000,-2.92403132,0
,,,6480000000,-2.875143901,0
,,,6485000000,-2.828057229,0
,,,6490000000,-2.78075033,0
,,,6495000000,-2.735954674,0
,,,6500000000,-2.687691556,0
,,,6505000000,-2.644194185,0
,,,6510000000,-2.599739177,0
,,,6515000000,-2.557616622,0
,,,6520000000,-2.513138103,0
,,,6525000000,-2.46655134,0
,,,6530000000,-2.418320397,0
,,,6535000000,-2.370581448,0
,,,6540000000,-2.320924508,0
,,,6545000000,-2.268822085,0
,,,6550000000,-2.218552716,0
,,,6555000000,-2.166957347,0
,,,6560000000,-2.121494065,0
,,,6565000000,-2.073356229,0
,,,6570000000,-2.032477872,0
,,,6575000000,-1.995335643,0
,,,6580000000,-1.96536643,0
,,,6585000000,-1.943990007,0
,,,6590000000,-1.921826335,0
,,,6595000000,-1.910676647,0
,,,6600000000,-1.903398595,0
,,,6605000000,-1.895219036,0
,,,6610000000,-1.892133493,0
,,,6615000000,-1.891303942,0
,,,6620000000,-1.897405086,0
,,,6625000000,-1.904251347,0
,,,6630000000,-1.915604992,0
,,,6635000000,-1.930914495,0
,,,6640000000,-1.949793207,0
,,,6645000000,-1.975489064,0
,,,6650000000,-1.999093546,0
,,,6655000000,-2.029333784,0
,,,6660000000,-2.059965335,0
,,,6665000000,-2.094787338,0
,,,6670000000,-2.136821671,0
,,,6675000000,-2.18285293,0
,,,6680000000,-2.238961798,0
,,,6685000000,-2.30138397,0
,,,6690000000,-2.370744115,0
,,,6695000000,-2.44671137,0
,,,6700000000,-2.526939824,0
,,,6705000000,-2.606902934,0
,,,6710000000,-2.689928741,0
,,,6715000000,-2.776857465,0
,,,6720000000,-2.854127652,0
,,,6725000000,-2.938186928,0
,,,6730000000,-3.02334851,0
,,,6735000000,-3.105862695,0
,,,6740000000,-3.179616084,0
,,,6745000000,-3.257202766,0
,,,6750000000,-3.32671821,0
,,,6755000000,-3.395411917,0
,,,6760000000,-3.460019536,0
,,,6765000000,-3.525369856,0
,,,6770000000,-3.586303567,0
,,,6775000000,-3.651009613,0
,,,6780000000,-3.722793071,0
,,,6785000000,-3.787173114,0
,,,6790000000,-3.861146824,0
,,,6795000000,-3.933150968,0
,,,6800000000,-4.012363453,0
,,,6805000000,-4.089602233,0
,,,6810000000,-4.167597105,0
,,,6815000000,-4.25266732,0
,,,6820000000,-4.341462206,0
,,,6825000000,-4.427453592,0
,,,6830000000,-4.516496477,0
,,,6835000000,-4.597789301,0
,,,6840000000,-4.674412892,0
,,,6845000000,-4.753592316,0
,,,6850000000,-4.82240587,0
,,,6855000000,-4.891228539,0
,,,6860000000,-4.952119048,0
,,,6865000000,-5.017003615,0
,,,6870000000,-5.077174768,0
,,,6875000000,-5.135800577,0
,,,6880000000,-5.194375964,0
,,,6885000000,-5.244059752,0
,,,6890000000,-5.296926295,0
,,,6895000000,-5.35565783,0
,,,6900000000,-5.403786241,0
,,,6905000000,-5.459201401,0
,,,6910000000,-5.519449709,0
,,,6915000000,-5.580401523,0
,,,6920000000,-5.641424176,0
,,,6925000000,-5.69930088,0
,,,6930000000,-5.752598901,0
,,,6935000000,-5.804170961,0
,,,6940000000,-5.854078027,0
,,,6945000000,-5.897017667,0
,,,6950000000,-5.942350823,0
,,,6955000000,-5.979248735,0
,,,6960000000,-6.014467322,0
,,,6965000000,-6.048236177,0
,,,6970000000,-6.087702337,0
,,,6975000000,-6.122013019,0
,,,6980000000,-6.161090054,0
,,,6985000000,-6.201742511,0
,,,6990000000,-6.252699858,0
,,,6995000000,-6.303199257,0
,,,7000000000,-6.370177331,0
